age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,deposit
55,admin,married,primary,no,319,no,no,21,nov,124,3,-1,0,no
31,management,married,tertiary,no,2603,yes,no,11,feb,280,4,-1,0,yes
36,admin,single,secondary,no,148,yes,no,15,may,1357,4,374,2,yes
34,management,single,tertiary,no,13014,no,no,13,aug,738,1,-1,0,yes
39,management,married,tertiary,no,-233,yes,no,19,nov,249,1,-1,0,no
35,technician,married,secondary,no,-180,no,yes,13,aug,823,2,-1,0,yes
72,retired,married,secondary,no,0,no,no,29,oct,189,3,-1,0,yes
41,management,married,secondary,no,456,yes,no,11,aug,734,4,-1,0,yes
34,admin,single,tertiary,no,18,yes,yes,30,apr,359,1,-1,0,yes
25,student,single,secondary,no,293,yes,no,5,may,170,2,-1,0,no
38,management,divorced,tertiary,no,155,yes,no,20,jun,25,26,-1,0,no
50,management,married,unknown,no,8345,no,no,27,feb,194,1,261,1,yes
32,blueCollar,married,secondary,no,-208,yes,yes,9,may,325,1,-1,0,no
26,admin,single,tertiary,no,3730,yes,no,11,mar,93,1,98,4,no
30,student,single,tertiary,no,3026,no,no,23,jul,251,1,535,1,yes
54,technician,single,tertiary,no,118,no,no,5,apr,280,1,-1,0,yes
47,retired,single,primary,no,3033,no,no,8,sep,293,1,-1,0,yes
37,services,divorced,secondary,no,319,yes,no,6,jun,467,3,-1,0,yes
43,housemaid,married,primary,no,25,no,no,12,aug,121,2,-1,0,no
31,admin,single,secondary,no,410,no,no,23,apr,342,1,-1,0,yes
31,management,married,tertiary,no,1331,no,no,30,apr,297,1,86,3,yes
63,retired,divorced,tertiary,no,0,no,no,13,may,263,1,181,2,yes
45,services,married,secondary,no,0,no,no,11,jul,106,2,-1,0,no
31,housemaid,single,primary,no,26965,no,no,21,apr,654,2,-1,0,yes
31,technician,married,secondary,yes,-463,yes,no,28,may,210,1,-1,0,no
56,admin,married,secondary,no,5310,no,no,19,jun,74,1,-1,0,no
42,admin,single,unknown,no,22,no,no,19,jun,246,3,-1,0,no
27,admin,single,unknown,no,5,yes,no,17,jul,225,2,-1,0,no
48,management,married,tertiary,no,1600,no,no,18,nov,448,1,-1,0,no
37,management,married,tertiary,no,2987,yes,no,13,may,216,1,87,10,yes
32,admin,single,secondary,no,10218,yes,no,19,nov,149,2,-1,0,no
31,services,married,secondary,no,1167,yes,yes,20,nov,279,1,-1,0,no
47,management,single,tertiary,no,0,no,no,21,aug,136,2,-1,0,no
58,retired,divorced,secondary,no,0,no,no,17,jun,436,5,-1,0,no
32,student,married,secondary,no,833,yes,no,2,nov,227,5,164,3,no
32,technician,married,secondary,no,4790,yes,no,22,jul,314,2,-1,0,no
54,management,married,tertiary,no,184,no,no,6,feb,13,6,-1,0,no
31,technician,married,secondary,no,4182,yes,no,4,may,347,2,-1,0,yes
55,technician,married,tertiary,no,1320,no,no,28,jul,340,1,91,2,yes
