age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous
37,services,married,secondary,no,1,no,no,15,may,395,2,-1,0
58,admin,married,secondary,no,826,no,no,12,jun,885,1,-1,0
50,retired,married,primary,no,29,no,no,20,jun,135,5,-1,0
76,retired,married,primary,no,2223,no,no,4,feb,429,1,-1,0
59,technician,married,secondary,no,316,no,no,14,aug,200,4,-1,0
55,unemployed,divorced,secondary,no,309,no,no,20,apr,167,1,181,3
46,admin,divorced,secondary,no,2232,no,no,13,feb,121,1,-1,0
32,technician,single,secondary,no,562,yes,no,30,may,722,3,-1,0
28,admin,married,tertiary,no,167,yes,yes,18,feb,126,2,-1,0
39,management,married,tertiary,no,45,no,no,28,aug,148,4,-1,0
31,unemployed,married,secondary,no,6,no,no,4,jun,121,4,-1,0
29,services,married,secondary,no,6567,yes,no,15,may,792,2,298,1
32,management,single,tertiary,no,46,no,no,21,aug,788,6,-1,0
32,blueCollar,married,primary,no,-454,yes,yes,18,may,801,5,355,2
48,housemaid,single,secondary,no,71,no,no,28,aug,97,3,-1,0
59,retired,married,secondary,no,136,no,no,6,aug,301,4,-1,0
55,management,married,secondary,no,2410,yes,no,17,nov,135,1,-1,0
30,management,single,tertiary,no,5359,no,no,26,feb,427,1,191,3
26,entrepreneur,married,tertiary,yes,144,no,yes,25,jul,730,1,-1,0
77,retired,married,tertiary,no,7802,no,no,1,feb,483,2,-1,0
33,unemployed,married,secondary,no,438,yes,yes,21,may,129,1,-1,0
23,services,single,secondary,no,425,yes,no,3,jun,768,1,-1,0
57,technician,married,secondary,no,6362,yes,yes,18,nov,66,1,-1,0
56,management,married,primary,no,0,no,no,3,feb,996,1,-1,0
47,management,married,tertiary,no,274,no,yes,4,feb,313,2,-1,0
36,technician,single,secondary,no,7503,yes,no,4,jun,25,1,-1,0
82,retired,married,secondary,no,276,no,no,17,aug,199,1,-1,0
40,selfEmployed,married,secondary,no,0,yes,no,11,may,657,1,-1,0
32,technician,single,tertiary,no,2481,no,no,18,aug,547,11,-1,0
32,student,single,tertiary,no,1138,no,no,10,feb,402,3,-1,0
36,entrepreneur,single,tertiary,no,145,yes,no,18,may,450,2,304,2
55,technician,married,secondary,yes,-308,no,no,2,feb,781,1,-1,0
36,blueCollar,married,secondary,no,3935,yes,yes,27,may,220,6,-1,0
57,housemaid,divorced,primary,no,8278,no,no,17,nov,408,3,-1,0
39,technician,married,primary,no,2118,yes,no,17,apr,266,2,-1,0
30,blueCollar,single,primary,no,253,yes,no,5,may,259,1,-1,0
38,services,married,secondary,no,1313,no,no,17,jun,33,2,-1,0
43,services,divorced,secondary,no,-287,yes,no,20,apr,580,4,-1,0
55,management,single,tertiary,no,797,no,no,29,jul,24,2,-1,0
67,retired,divorced,secondary,no,704,no,no,3,nov,537,1,-1,0
50,technician,divorced,secondary,no,0,no,no,1,apr,280,1,184,3
61,technician,divorced,secondary,no,6481,no,no,19,oct,131,1,-1,0
34,management,married,tertiary,no,0,yes,no,30,apr,300,1,86,1
58,blueCollar,married,primary,no,494,no,no,14,aug,171,10,-1,0
26,student,single,secondary,no,0,no,no,2,feb,1223,2,-1,0
57,blueCollar,married,secondary,no,2887,no,no,21,aug,819,10,-1,0
72,retired,married,primary,no,0,no,no,29,dec,215,2,-1,0
30,blueCollar,married,secondary,no,1664,yes,no,20,oct,2016,1,-1,0
45,unemployed,divorced,secondary,no,-44,yes,no,7,jul,256,2,-1,0
44,technician,single,tertiary,no,643,no,no,16,oct,324,1,143,3
38,entrepreneur,married,secondary,no,2139,yes,no,9,may,576,1,-1,0
51,housemaid,divorced,tertiary,no,1613,no,no,4,aug,870,1,-1,0
49,blueCollar,married,primary,no,361,yes,no,16,jun,513,2,-1,0
34,housemaid,married,primary,no,2929,no,no,14,aug,518,2,-1,0
38,entrepreneur,married,tertiary,no,678,no,yes,18,nov,82,2,152,1
68,retired,divorced,primary,no,2027,no,no,14,sep,404,2,91,4
32,admin,divorced,secondary,no,-46,no,yes,18,jul,1373,4,-1,0
49,selfEmployed,married,secondary,no,2061,yes,yes,30,may,137,3,-1,0
37,admin,married,secondary,no,0,yes,no,2,jun,107,1,-1,0
28,management,single,tertiary,no,390,no,no,29,sep,845,1,232,4
56,retired,married,secondary,no,3738,yes,no,17,apr,156,1,305,6
30,management,single,tertiary,no,297,no,no,8,nov,188,1,-1,0
27,selfEmployed,single,tertiary,no,347,no,no,6,aug,385,4,-1,0
32,technician,single,secondary,no,3297,no,no,11,aug,99,2,-1,0
30,entrepreneur,married,secondary,no,-346,yes,yes,22,jul,88,1,-1,0
41,technician,married,secondary,no,2152,no,no,30,sep,134,1,121,1
