age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
55.0,unknown,married,universitydegree,unknown,unknown,unknown,telephone,may,mon,362.0,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
48.0,selfemployed,divorced,universitydegree,no,no,no,cellular,aug,fri,222.0,4.0,999.0,0.0,nonexistent,-1.7,94.027,-38.3,0.898,4991.6,no
62.0,retired,married,highSchool,no,no,no,cellular,jul,tue,355.0,2.0,999.0,0.0,nonexistent,-1.7,94.215,-40.3,0.876,4991.6,yes
39.0,selfemployed,single,basic9y,unknown,yes,yes,telephone,may,tue,90.0,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
32.0,services,single,universitydegree,no,yes,no,cellular,sep,thu,404.0,1.0,6.0,3.0,success,-1.1,94.199,-37.5,0.884,4963.6,yes
70.0,retired,divorced,basic4y,no,no,no,cellular,jul,thu,390.0,2.0,6.0,2.0,success,-1.7,94.215,-40.3,0.846,4991.6,yes
36.0,blueCollar,married,basic9y,no,yes,yes,telephone,may,mon,98.0,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
33.0,admin,married,universitydegree,no,no,no,cellular,sep,wed,208.0,2.0,999.0,0.0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,yes
73.0,retired,married,professionalCourse,no,yes,no,cellular,nov,fri,334.0,1.0,999.0,0.0,nonexistent,-1.1,94.767,-50.8,1.028,4963.6,yes
37.0,unemployed,married,universitydegree,unknown,no,no,telephone,jun,mon,198.0,1.0,999.0,0.0,nonexistent,-1.7,94.055,-39.8,0.754,4991.6,no
59.0,services,married,highSchool,no,no,no,telephone,may,mon,579.0,2.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
45.0,services,married,basic9y,unknown,no,no,telephone,may,mon,198.0,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
77.0,management,married,unknown,no,yes,no,cellular,aug,fri,160.0,1.0,3.0,6.0,success,-1.7,94.027,-38.3,0.905,4991.6,yes
56.0,blueCollar,married,basic4y,unknown,no,no,telephone,may,mon,100.0,2.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
34.0,services,married,highSchool,no,yes,no,telephone,may,mon,125.0,2.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
34.0,admin,married,universitydegree,no,yes,no,cellular,aug,wed,250.0,1.0,10.0,2.0,failure,-1.7,94.027,-38.3,0.9,4991.6,yes
35.0,technician,married,professionalCourse,no,yes,yes,cellular,oct,wed,608.0,1.0,9.0,2.0,failure,-1.1,94.601,-49.5,0.959,4963.6,yes
36.0,technician,single,highSchool,no,yes,no,telephone,may,mon,142.0,2.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
65.0,retired,married,professionalCourse,no,yes,no,cellular,aug,tue,261.0,1.0,6.0,3.0,success,-1.7,94.027,-38.3,0.904,4991.6,yes
43.0,unemployed,single,universitydegree,no,yes,no,telephone,may,mon,240.0,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
59.0,technician,married,professionalCourse,no,yes,no,cellular,jul,fri,457.0,2.0,15.0,1.0,success,-1.7,94.215,-40.3,0.861,4991.6,yes
36.0,technician,married,universitydegree,no,no,no,telephone,may,tue,210.0,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
46.0,blueCollar,married,basic6y,unknown,yes,no,telephone,may,mon,240.0,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
55.0,blueCollar,married,basic4y,unknown,no,no,telephone,may,mon,102.0,2.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
42.0,admin,single,universitydegree,unknown,no,no,telephone,may,mon,192.0,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
33.0,services,married,highSchool,unknown,yes,no,telephone,may,mon,337.0,2.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
42.0,blueCollar,married,basic9y,no,yes,no,cellular,aug,fri,261.0,1.0,6.0,1.0,success,-1.7,94.027,-38.3,0.898,4991.6,yes
34.0,technician,married,unknown,no,yes,no,cellular,nov,tue,200.0,1.0,3.0,1.0,success,-1.1,94.767,-50.8,1.046,4963.6,yes
56.0,management,divorced,highSchool,no,no,no,telephone,may,tue,218.0,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
23.0,student,single,highSchool,no,no,yes,cellular,sep,thu,409.0,2.0,3.0,2.0,success,-1.1,94.199,-37.5,0.878,4963.6,yes
